"Source","Target"
"Anchorman 2: The Legend Continues","https://www.rottentomatoes.com/m/raiders_of_the_lost_ark"
"Anchorman 2: The Legend Continues","https://www.rottentomatoes.com/m/rocketman_2019"
"Anchorman 2: The Legend Continues","https://www.rottentomatoes.com/m/saving_private_ryan"
"Anchorman 2: The Legend Continues","https://www.rottentomatoes.com/m/anchorman_2_the_legend_continues"
"Anchorman 2: The Legend Continues","https://www.rottentomatoes.com/m/forrest_gump"
"Anchorman 2: The Legend Continues","https://www.rottentomatoes.com/m/terminator_2_judgment_day"
"Anchorman 2: The Legend Continues","https://www.rottentomatoes.com/m/gods_creatures"
"Anchorman 2: The Legend Continues","https://www.rottentomatoes.com/m/boyz_n_the_hood"
"Anchorman 2: The Legend Continues","https://www.rottentomatoes.com/m/zero_dark_thirty"
"Anchorman 2: The Legend Continues","https://www.rottentomatoes.com/m/the_big_short"
"Anchorman 2: The Legend Continues","https://www.rottentomatoes.com/m/saving_silverman"
"Anchorman 2: The Legend Continues","https://www.rottentomatoes.com/m/1072385-kingpin"
"Anchorman 2: The Legend Continues","https://www.rottentomatoes.com/m/anchorman"
"Anchorman 2: The Legend Continues","https://www.rottentomatoes.com/m/daddys_home_2014"
"Anchorman 2: The Legend Continues","https://www.rottentomatoes.com/m/goods_the_don_ready_story"
