"Source","Target"
"The Aviator","https://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade"
"The Aviator","https://www.rottentomatoes.com/m/lady_bird"
"The Aviator","https://www.rottentomatoes.com/m/titanic"
"The Aviator","https://www.rottentomatoes.com/m/the_wolf_of_wall_street_2013"
"The Aviator","https://www.rottentomatoes.com/m/war_of_the_worlds"
"The Aviator","https://www.rottentomatoes.com/m/heat_1995"
"The Aviator","https://www.rottentomatoes.com/m/gods_creatures"
"The Aviator","https://www.rottentomatoes.com/m/aviator"
"The Aviator","https://www.rottentomatoes.com/m/collateral"
"The Aviator","https://www.rottentomatoes.com/m/super_8"
"The Aviator","https://www.rottentomatoes.com/m/golden_age"
"The Aviator","https://www.rottentomatoes.com/m/hitchcock"
"The Aviator","https://www.rottentomatoes.com/m/the_founder"
"The Aviator","https://www.rottentomatoes.com/m/the_iron_lady"
"The Aviator","https://www.rottentomatoes.com/m/42_2013"
