"Source","Target"
"Collateral","https://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade"
"Collateral","https://www.rottentomatoes.com/m/lady_bird"
"Collateral","https://www.rottentomatoes.com/m/titanic"
"Collateral","https://www.rottentomatoes.com/m/the_wolf_of_wall_street_2013"
"Collateral","https://www.rottentomatoes.com/m/war_of_the_worlds"
"Collateral","https://www.rottentomatoes.com/m/heat_1995"
"Collateral","https://www.rottentomatoes.com/m/gods_creatures"
"Collateral","https://www.rottentomatoes.com/m/aviator"
"Collateral","https://www.rottentomatoes.com/m/collateral"
"Collateral","https://www.rottentomatoes.com/m/super_8"
"Collateral","https://www.rottentomatoes.com/m/1070992-primal_fear"
"Collateral","https://www.rottentomatoes.com/m/red_dragon"
"Collateral","https://www.rottentomatoes.com/m/law_abiding_citizen"
"Collateral","https://www.rottentomatoes.com/m/anamorph"
"Collateral","https://www.rottentomatoes.com/m/1104203-pledge"
