"Source","Target"
"Forrest Gump","https://www.rottentomatoes.com/m/raiders_of_the_lost_ark"
"Forrest Gump","https://www.rottentomatoes.com/m/rocketman_2019"
"Forrest Gump","https://www.rottentomatoes.com/m/saving_private_ryan"
"Forrest Gump","https://www.rottentomatoes.com/m/anchorman_2_the_legend_continues"
"Forrest Gump","https://www.rottentomatoes.com/m/forrest_gump"
"Forrest Gump","https://www.rottentomatoes.com/m/terminator_2_judgment_day"
"Forrest Gump","https://www.rottentomatoes.com/m/gods_creatures"
"Forrest Gump","https://www.rottentomatoes.com/m/boyz_n_the_hood"
"Forrest Gump","https://www.rottentomatoes.com/m/zero_dark_thirty"
"Forrest Gump","https://www.rottentomatoes.com/m/the_big_short"
"Forrest Gump","https://www.rottentomatoes.com/m/1042059-leap_of_faith"
"Forrest Gump","https://www.rottentomatoes.com/m/whats_eating_gilbert_grape"
"Forrest Gump","https://www.rottentomatoes.com/m/the_guilt_trip"
"Forrest Gump","https://www.rottentomatoes.com/m/shes_having_a_baby"
"Forrest Gump","https://www.rottentomatoes.com/m/1040893-hero"
