"Source","Target"
"Heat","https://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade"
"Heat","https://www.rottentomatoes.com/m/lady_bird"
"Heat","https://www.rottentomatoes.com/m/titanic"
"Heat","https://www.rottentomatoes.com/m/the_wolf_of_wall_street_2013"
"Heat","https://www.rottentomatoes.com/m/war_of_the_worlds"
"Heat","https://www.rottentomatoes.com/m/heat_1995"
"Heat","https://www.rottentomatoes.com/m/gods_creatures"
"Heat","https://www.rottentomatoes.com/m/aviator"
"Heat","https://www.rottentomatoes.com/m/collateral"
"Heat","https://www.rottentomatoes.com/m/super_8"
"Heat","https://www.rottentomatoes.com/m/la_confidential"
"Heat","https://www.rottentomatoes.com/m/q_and_a"
"Heat","https://www.rottentomatoes.com/m/new_jack_city"
"Heat","https://www.rottentomatoes.com/m/1014946-next_of_kin"
"Heat","https://www.rottentomatoes.com/m/carlitos_way"
