"Source","Target"
"High School Musical 2","https://www.rottentomatoes.com/m/palm_springs_2020"
"High School Musical 2","https://www.rottentomatoes.com/m/luca_2021"
"High School Musical 2","https://www.rottentomatoes.com/m/lego_star_wars_summer_vacation"
"High School Musical 2","https://www.rottentomatoes.com/m/teen_beach_movie"
"High School Musical 2","https://www.rottentomatoes.com/m/theater_camp"
"High School Musical 2","https://www.rottentomatoes.com/m/high_school_musical_2"
"High School Musical 2","https://www.rottentomatoes.com/m/lilo_and_stitch"
"High School Musical 2","https://www.rottentomatoes.com/m/sandlot"
"High School Musical 2","https://www.rottentomatoes.com/m/vacation_friends"
"High School Musical 2","https://www.rottentomatoes.com/m/camp_rock"
"High School Musical 2","https://www.rottentomatoes.com/m/high_school_musical"
"High School Musical 2","https://www.rottentomatoes.com/m/1194524-high_school_musical_3_senior_year"
"High School Musical 2","https://www.rottentomatoes.com/m/hannah_montana_the_movie"
"High School Musical 2","https://www.rottentomatoes.com/m/herbie_fully_loaded"
"High School Musical 2","https://www.rottentomatoes.com/m/confessions_of_a_teenage_drama_queen"
