"Source","Target"
"Indiana Jones and the Last Crusade","https://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade"
"Indiana Jones and the Last Crusade","https://www.rottentomatoes.com/m/lady_bird"
"Indiana Jones and the Last Crusade","https://www.rottentomatoes.com/m/titanic"
"Indiana Jones and the Last Crusade","https://www.rottentomatoes.com/m/the_wolf_of_wall_street_2013"
"Indiana Jones and the Last Crusade","https://www.rottentomatoes.com/m/war_of_the_worlds"
"Indiana Jones and the Last Crusade","https://www.rottentomatoes.com/m/heat_1995"
"Indiana Jones and the Last Crusade","https://www.rottentomatoes.com/m/gods_creatures"
"Indiana Jones and the Last Crusade","https://www.rottentomatoes.com/m/aviator"
"Indiana Jones and the Last Crusade","https://www.rottentomatoes.com/m/collateral"
"Indiana Jones and the Last Crusade","https://www.rottentomatoes.com/m/super_8"
"Indiana Jones and the Last Crusade","https://www.rottentomatoes.com/m/indiana_jones_and_the_kingdom_of_the_crystal_skull"
"Indiana Jones and the Last Crusade","https://www.rottentomatoes.com/m/congo"
"Indiana Jones and the Last Crusade","https://www.rottentomatoes.com/m/indiana_jones_and_the_dial_of_destiny"
"Indiana Jones and the Last Crusade","https://www.rottentomatoes.com/m/mission_impossible_3"
"Indiana Jones and the Last Crusade","https://www.rottentomatoes.com/m/1144274-sahara"
