"Source","Target"
"Lady Bird","https://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade"
"Lady Bird","https://www.rottentomatoes.com/m/lady_bird"
"Lady Bird","https://www.rottentomatoes.com/m/titanic"
"Lady Bird","https://www.rottentomatoes.com/m/the_wolf_of_wall_street_2013"
"Lady Bird","https://www.rottentomatoes.com/m/war_of_the_worlds"
"Lady Bird","https://www.rottentomatoes.com/m/heat_1995"
"Lady Bird","https://www.rottentomatoes.com/m/gods_creatures"
"Lady Bird","https://www.rottentomatoes.com/m/aviator"
"Lady Bird","https://www.rottentomatoes.com/m/collateral"
"Lady Bird","https://www.rottentomatoes.com/m/super_8"
"Lady Bird","https://www.rottentomatoes.com/m/eighth_grade"
"Lady Bird","https://www.rottentomatoes.com/m/margot_at_the_wedding"
"Lady Bird","https://www.rottentomatoes.com/m/mid90s"
"Lady Bird","https://www.rottentomatoes.com/m/the_last_word_2017"
"Lady Bird","https://www.rottentomatoes.com/m/20th_century_women"
