"Source","Target"
"LEGO Star Wars Summer Vacation","https://www.rottentomatoes.com/m/palm_springs_2020"
"LEGO Star Wars Summer Vacation","https://www.rottentomatoes.com/m/luca_2021"
"LEGO Star Wars Summer Vacation","https://www.rottentomatoes.com/m/lego_star_wars_summer_vacation"
"LEGO Star Wars Summer Vacation","https://www.rottentomatoes.com/m/teen_beach_movie"
"LEGO Star Wars Summer Vacation","https://www.rottentomatoes.com/m/theater_camp"
"LEGO Star Wars Summer Vacation","https://www.rottentomatoes.com/m/high_school_musical_2"
"LEGO Star Wars Summer Vacation","https://www.rottentomatoes.com/m/lilo_and_stitch"
"LEGO Star Wars Summer Vacation","https://www.rottentomatoes.com/m/sandlot"
"LEGO Star Wars Summer Vacation","https://www.rottentomatoes.com/m/vacation_friends"
"LEGO Star Wars Summer Vacation","https://www.rottentomatoes.com/m/camp_rock"
"LEGO Star Wars Summer Vacation","https://www.rottentomatoes.com/m/lego_star_wars_terrifying_tales"
"LEGO Star Wars Summer Vacation","https://www.rottentomatoes.com/m/lego_star_wars_holiday_special"
"LEGO Star Wars Summer Vacation","https://www.rottentomatoes.com/m/ratchet_and_clank"
"LEGO Star Wars Summer Vacation","https://www.rottentomatoes.com/m/spark_a_space_tail"
"LEGO Star Wars Summer Vacation","https://www.rottentomatoes.com/m/big_hero_6"
