"Source","Target"
"Palm Springs","https://www.rottentomatoes.com/m/palm_springs_2020"
"Palm Springs","https://www.rottentomatoes.com/m/luca_2021"
"Palm Springs","https://www.rottentomatoes.com/m/lego_star_wars_summer_vacation"
"Palm Springs","https://www.rottentomatoes.com/m/teen_beach_movie"
"Palm Springs","https://www.rottentomatoes.com/m/theater_camp"
"Palm Springs","https://www.rottentomatoes.com/m/high_school_musical_2"
"Palm Springs","https://www.rottentomatoes.com/m/lilo_and_stitch"
"Palm Springs","https://www.rottentomatoes.com/m/sandlot"
"Palm Springs","https://www.rottentomatoes.com/m/vacation_friends"
"Palm Springs","https://www.rottentomatoes.com/m/camp_rock"
"Palm Springs","https://www.rottentomatoes.com/m/beautiful_wedding"
"Palm Springs","https://www.rottentomatoes.com/m/the_lovers_2017"
"Palm Springs","https://www.rottentomatoes.com/m/unplugging"
"Palm Springs","https://www.rottentomatoes.com/m/i_want_you_back"
"Palm Springs","https://www.rottentomatoes.com/m/gloria_bell"
