"Source","Target"
"Rocketman","https://www.rottentomatoes.com/m/raiders_of_the_lost_ark"
"Rocketman","https://www.rottentomatoes.com/m/rocketman_2019"
"Rocketman","https://www.rottentomatoes.com/m/saving_private_ryan"
"Rocketman","https://www.rottentomatoes.com/m/anchorman_2_the_legend_continues"
"Rocketman","https://www.rottentomatoes.com/m/forrest_gump"
"Rocketman","https://www.rottentomatoes.com/m/terminator_2_judgment_day"
"Rocketman","https://www.rottentomatoes.com/m/gods_creatures"
"Rocketman","https://www.rottentomatoes.com/m/boyz_n_the_hood"
"Rocketman","https://www.rottentomatoes.com/m/zero_dark_thirty"
"Rocketman","https://www.rottentomatoes.com/m/the_big_short"
"Rocketman","https://www.rottentomatoes.com/m/jersey_boys"
"Rocketman","https://www.rottentomatoes.com/m/boy_erased"
"Rocketman","https://www.rottentomatoes.com/m/milk"
"Rocketman","https://www.rottentomatoes.com/m/all_eyez_on_me_2017"
"Rocketman","https://www.rottentomatoes.com/m/boys_dont_cry"
