"Source","Target"
"The Sandlot","https://www.rottentomatoes.com/m/palm_springs_2020"
"The Sandlot","https://www.rottentomatoes.com/m/luca_2021"
"The Sandlot","https://www.rottentomatoes.com/m/lego_star_wars_summer_vacation"
"The Sandlot","https://www.rottentomatoes.com/m/teen_beach_movie"
"The Sandlot","https://www.rottentomatoes.com/m/theater_camp"
"The Sandlot","https://www.rottentomatoes.com/m/high_school_musical_2"
"The Sandlot","https://www.rottentomatoes.com/m/lilo_and_stitch"
"The Sandlot","https://www.rottentomatoes.com/m/sandlot"
"The Sandlot","https://www.rottentomatoes.com/m/vacation_friends"
"The Sandlot","https://www.rottentomatoes.com/m/camp_rock"
"The Sandlot","https://www.rottentomatoes.com/m/adventures_of_huck_finn"
"The Sandlot","https://www.rottentomatoes.com/m/home_alone_3"
"The Sandlot","https://www.rottentomatoes.com/m/air_bud"
"The Sandlot","https://www.rottentomatoes.com/m/we_bought_a_zoo"
"The Sandlot","https://www.rottentomatoes.com/m/north"
