"Source","Target"
"Super 8","https://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade"
"Super 8","https://www.rottentomatoes.com/m/lady_bird"
"Super 8","https://www.rottentomatoes.com/m/titanic"
"Super 8","https://www.rottentomatoes.com/m/the_wolf_of_wall_street_2013"
"Super 8","https://www.rottentomatoes.com/m/war_of_the_worlds"
"Super 8","https://www.rottentomatoes.com/m/heat_1995"
"Super 8","https://www.rottentomatoes.com/m/gods_creatures"
"Super 8","https://www.rottentomatoes.com/m/aviator"
"Super 8","https://www.rottentomatoes.com/m/collateral"
"Super 8","https://www.rottentomatoes.com/m/super_8"
"Super 8","https://www.rottentomatoes.com/m/knowing"
"Super 8","https://www.rottentomatoes.com/m/project_almanac"
"Super 8","https://www.rottentomatoes.com/m/invasion"
"Super 8","https://www.rottentomatoes.com/m/the_cloverfield_paradox"
"Super 8","https://www.rottentomatoes.com/m/cloverfield"
