"Source","Target"
"Teen Beach Movie","https://www.rottentomatoes.com/m/palm_springs_2020"
"Teen Beach Movie","https://www.rottentomatoes.com/m/luca_2021"
"Teen Beach Movie","https://www.rottentomatoes.com/m/lego_star_wars_summer_vacation"
"Teen Beach Movie","https://www.rottentomatoes.com/m/teen_beach_movie"
"Teen Beach Movie","https://www.rottentomatoes.com/m/theater_camp"
"Teen Beach Movie","https://www.rottentomatoes.com/m/high_school_musical_2"
"Teen Beach Movie","https://www.rottentomatoes.com/m/lilo_and_stitch"
"Teen Beach Movie","https://www.rottentomatoes.com/m/sandlot"
"Teen Beach Movie","https://www.rottentomatoes.com/m/vacation_friends"
"Teen Beach Movie","https://www.rottentomatoes.com/m/camp_rock"
"Teen Beach Movie","https://www.rottentomatoes.com/m/zombies_2"
"Teen Beach Movie","https://www.rottentomatoes.com/m/bandslam"
"Teen Beach Movie","https://www.rottentomatoes.com/m/london_paris_new_york"
"Teen Beach Movie","https://www.rottentomatoes.com/m/pitch_perfect"
"Teen Beach Movie","https://www.rottentomatoes.com/m/marigold"
