"Source","Target"
"The Wolf of Wall Street","https://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade"
"The Wolf of Wall Street","https://www.rottentomatoes.com/m/lady_bird"
"The Wolf of Wall Street","https://www.rottentomatoes.com/m/titanic"
"The Wolf of Wall Street","https://www.rottentomatoes.com/m/the_wolf_of_wall_street_2013"
"The Wolf of Wall Street","https://www.rottentomatoes.com/m/war_of_the_worlds"
"The Wolf of Wall Street","https://www.rottentomatoes.com/m/heat_1995"
"The Wolf of Wall Street","https://www.rottentomatoes.com/m/gods_creatures"
"The Wolf of Wall Street","https://www.rottentomatoes.com/m/aviator"
"The Wolf of Wall Street","https://www.rottentomatoes.com/m/collateral"
"The Wolf of Wall Street","https://www.rottentomatoes.com/m/super_8"
"The Wolf of Wall Street","https://www.rottentomatoes.com/m/dont_worry_he_wont_get_far_on_foot"
"The Wolf of Wall Street","https://www.rottentomatoes.com/m/the_sessions"
"The Wolf of Wall Street","https://www.rottentomatoes.com/m/i_tonya"
"The Wolf of Wall Street","https://www.rottentomatoes.com/m/confessions_of_a_dangerous_mind"
"The Wolf of Wall Street","https://www.rottentomatoes.com/m/vice_2018"
