"Source","Target"
"Theater Camp","https://www.rottentomatoes.com/m/palm_springs_2020"
"Theater Camp","https://www.rottentomatoes.com/m/luca_2021"
"Theater Camp","https://www.rottentomatoes.com/m/lego_star_wars_summer_vacation"
"Theater Camp","https://www.rottentomatoes.com/m/teen_beach_movie"
"Theater Camp","https://www.rottentomatoes.com/m/theater_camp"
"Theater Camp","https://www.rottentomatoes.com/m/high_school_musical_2"
"Theater Camp","https://www.rottentomatoes.com/m/lilo_and_stitch"
"Theater Camp","https://www.rottentomatoes.com/m/sandlot"
"Theater Camp","https://www.rottentomatoes.com/m/vacation_friends"
"Theater Camp","https://www.rottentomatoes.com/m/camp_rock"
"Theater Camp","https://www.rottentomatoes.com/m/barb_and_star_go_to_vista_del_mar"
"Theater Camp","https://www.rottentomatoes.com/m/champions_2022"
"Theater Camp","https://www.rottentomatoes.com/m/tyler_perrys_a_madea_family_funeral"
"Theater Camp","https://www.rottentomatoes.com/m/night_school_2018"
"Theater Camp","https://www.rottentomatoes.com/m/bank_of_dave"
