"Source","Target"
"Vacation Friends","https://www.rottentomatoes.com/m/palm_springs_2020"
"Vacation Friends","https://www.rottentomatoes.com/m/luca_2021"
"Vacation Friends","https://www.rottentomatoes.com/m/lego_star_wars_summer_vacation"
"Vacation Friends","https://www.rottentomatoes.com/m/teen_beach_movie"
"Vacation Friends","https://www.rottentomatoes.com/m/theater_camp"
"Vacation Friends","https://www.rottentomatoes.com/m/high_school_musical_2"
"Vacation Friends","https://www.rottentomatoes.com/m/lilo_and_stitch"
"Vacation Friends","https://www.rottentomatoes.com/m/sandlot"
"Vacation Friends","https://www.rottentomatoes.com/m/vacation_friends"
"Vacation Friends","https://www.rottentomatoes.com/m/camp_rock"
"Vacation Friends","https://www.rottentomatoes.com/m/vacation_friends_2"
"Vacation Friends","https://www.rottentomatoes.com/m/quiz_lady"
"Vacation Friends","https://www.rottentomatoes.com/m/white_men_cant_jump_2023"
"Vacation Friends","https://www.rottentomatoes.com/m/blockers"
"Vacation Friends","https://www.rottentomatoes.com/m/mike_and_dave_need_wedding_dates"
