"Source","Target"
"War of the Worlds","https://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade"
"War of the Worlds","https://www.rottentomatoes.com/m/lady_bird"
"War of the Worlds","https://www.rottentomatoes.com/m/titanic"
"War of the Worlds","https://www.rottentomatoes.com/m/the_wolf_of_wall_street_2013"
"War of the Worlds","https://www.rottentomatoes.com/m/war_of_the_worlds"
"War of the Worlds","https://www.rottentomatoes.com/m/heat_1995"
"War of the Worlds","https://www.rottentomatoes.com/m/gods_creatures"
"War of the Worlds","https://www.rottentomatoes.com/m/aviator"
"War of the Worlds","https://www.rottentomatoes.com/m/collateral"
"War of the Worlds","https://www.rottentomatoes.com/m/super_8"
"War of the Worlds","https://www.rottentomatoes.com/m/timeline"
"War of the Worlds","https://www.rottentomatoes.com/m/deep_impact"
"War of the Worlds","https://www.rottentomatoes.com/m/oblivion_2013"
"War of the Worlds","https://www.rottentomatoes.com/m/godzilla_2014"
"War of the Worlds","https://www.rottentomatoes.com/m/the_hunger_games_catching_fire"
