"Source","Target"
"Zero Dark Thirty","https://www.rottentomatoes.com/m/raiders_of_the_lost_ark"
"Zero Dark Thirty","https://www.rottentomatoes.com/m/rocketman_2019"
"Zero Dark Thirty","https://www.rottentomatoes.com/m/saving_private_ryan"
"Zero Dark Thirty","https://www.rottentomatoes.com/m/anchorman_2_the_legend_continues"
"Zero Dark Thirty","https://www.rottentomatoes.com/m/forrest_gump"
"Zero Dark Thirty","https://www.rottentomatoes.com/m/terminator_2_judgment_day"
"Zero Dark Thirty","https://www.rottentomatoes.com/m/gods_creatures"
"Zero Dark Thirty","https://www.rottentomatoes.com/m/boyz_n_the_hood"
"Zero Dark Thirty","https://www.rottentomatoes.com/m/zero_dark_thirty"
"Zero Dark Thirty","https://www.rottentomatoes.com/m/the_big_short"
"Zero Dark Thirty","https://www.rottentomatoes.com/m/13_hours_the_secret_soldiers_of_benghazi"
"Zero Dark Thirty","https://www.rottentomatoes.com/m/1213999-brothers"
"Zero Dark Thirty","https://www.rottentomatoes.com/m/eye_in_the_sky"
"Zero Dark Thirty","https://www.rottentomatoes.com/m/boys_of_abu_ghraib"
"Zero Dark Thirty","https://www.rottentomatoes.com/m/black_book"
