"Title","Director","US_Gross","Critics","Audiences","Director_Gender","First_Gender"
"Percy Jackson & the Olympians: The Lightning Thief","Chris Columbus",88800000,49,53,"male","male"
"Please Give","Nicole Holofcener",4e+06,85,64,"female","female"
"10 Items or Less","Brad Silberling",81400,64,65,"male","male"
"10 Things I Hate About You","Gil Junger",38200000,71,69,"male","female"
"10,000 B.C.","Roland Emmerich",94800000,9,37,"male","male"
"The Accused","Jonathan Kaplan",29600000,93,79,"male","female"
"The Lost City","Andy Garcia",2500000,26,64,"male","male"
"The Bridge of San Luis Rey","Mary McGuckian",42900,4,35,"female","female"
"Criminal","Gregory Jacobs",923400,69,57,"male","male"
"Twin Sisters","Ben Sombogaart",1200,69,82,"male","female"
"Running Scared","Wayne Kramer",6900000,41,79,"male","male"
"Ultraviolet","Kurt Wimmer",18500000,8,30,"male","female"
"Arthur and the Invisibles","Luc Besson",15100000,22,56,"male","male"
"The Matador","Richard Shepard",12600000,75,66,"male","male"
"Saint Ralph","Michael McGowan",795100,65,85,"male","male"
"The Baxter","Michael Showalter",181900,32,75,"male","male"
"The Mostly Unfabulous Social Life of Ethan Green","George Bamber",152800,30,58,"male","male"
"Dirty","Chris Fisher",271100,22,42,"male","male"
"Amazing Grace","Michael Apted",21200000,68,85,"male","male"
"The Ten","David Wain",766500,35,40,"male","male"
"The Happening","M. Night Shyamalan",64500000,18,24,NA,"male"
"Lady Chatterley","Pascale Ferran",687400,77,59,"female","female"
"The Salon","Mark Brown",92400,12,66,"male","female"
"Pathology","Marc Schoelermann",108700,46,39,"male","male"
"Disney's A Christmas Carol","Robert Zemeckis",137900000,52,58,"male","male"
"Beverly Hills Chihuahua","Raja Gosnell",94500000,40,51,"male","female"
"Fireflies in the Garden","Dennis Lee",70600,21,45,"male","male"
"My Best Friend's Girl","Howard Deutch",19200000,14,46,"male","male"
"The Lucky Ones","Neil Burger",183100,38,54,"male","female"
"Run Fat Boy Run","David Schwimmer",6e+06,46,64,"male","male"
"Black Irish","Brad Gann",6900,31,58,"male","male"
"Rails & Ties","Alison Eastwood",21400,34,58,"female","male"
"Canvas","Joseph Greco",32500,77,62,"male","male"
"Saawariya","Sanjay Leela Bhansali",885600,41,46,"male","male"
"Good","Vicente Amorim",23100,34,32,"male","male"
"The Visitor","Tom McCarthy",9400000,90,84,"male","male"
"The Oxford Murders","Alex de la Iglesia",3600,17,33,"male","male"
"Untraceable","Gregory Hoblit",28700000,16,52,"male","female"
"The Freshman","Andrew Bergman",20700000,94,61,"male","male"
"Land of the Lost","Brad Silberling",49400000,26,32,"male","male"
"And God Created Woman","Roger Vadim",393600,38,32,"male","female"
"21","Robert Luketic",81200000,36,66,"male","male"
"Passengers","Rodrigo Garcia",270700,19,35,"male","female"
"The Grand","Zak Penn",114700,40,43,"male","male"
"The Hammer","Charles Herman-Wurmfeld",442600,82,90,"male","male"
"Shutter","Masayuki Ochiai",25900000,11,33,"male","male"
"G-Force","Hoyt H. Yeatman Jr.",119400000,22,40,"male","male"
"The Duchess","Saul Dibb",13800000,63,67,"male","female"
"The Women","Diane English",26900000,13,37,"female","female"
"Public Enemies","Michael Mann",9.7e+07,68,59,"male","male"
"Julia","Erick Zonca",64500,72,67,"male","female"
"Angel Heart","Alan Parker",14400000,82,81,"male","male"
"Surrogates","Jonathan Mostow",38500000,37,38,"male","male"
"The Promotion","Steve Conrad",406300,55,28,"male","male"
"Notorious","George Tillman Jr.",36800000,52,65,"male","male"
"Igor","Anthony Leondis",19500000,40,38,"male","male"
"The Stone Angel","Kari Skogland",31900,44,58,"female","female"
"Ripple Effect","Philippe Caland",13800,29,NA,"male","male"
"Push","Paul McGuigan",31800000,23,42,"male","male"
"Chocolate","Prachya Pinkaew",13400,71,73,NA,"female"
"Fireproof","Alex Kendrick",33500000,38,82,"male","male"
"Leaves of Grass","Tim Blake Nelson",68000,63,49,"male","male"
"The Proposal","Anne Fletcher",163900000,45,68,"female","female"
"Gigantic","Matt Aselton",102100,35,34,"male","male"
"The Hangover","Todd Phillips",277300000,79,84,"male","male"
"The Stepfather","Nelson McCormick",29100000,13,34,"male","male"
"Departures","Yojiro Takita",1500000,80,92,NA,"male"
"The Messenger","Oren Moverman",1100000,90,75,"male","male"
"Blood: The Last Vampire","Chris Nahon",256700,25,33,"male","female"
"Shrink","Jonas Pate",189300,27,50,"male","male"
